Timestamp,RL,RR,MR
20230302-1041,12954,4361,6
20230303-1046,12954,4367,6
20230304-1038,12959,4371,6
20230305-1041,12950,4368,6
20230306-1041,12934,4364,6
20230307-1055,12927,4368,6
20230308-1049,12931,4370,6
20230309-1056,12938,4372,6
20230310-1103,12946,4373,6
20230311-1043,12962,4376,6
20230312-1047,12950,4371,6
20230313-1110,12929,4369,6
20230314-1056,12940,4375,6
20230315-1055,12942,4374,6
20230316-1115,12938,4379,6
20230317-1110,12932,4377,6
20230318-1148,12955,4384,6
20230319-1035,12944,4374,6
20230320-1043,12907,4366,6
20230321-1052,12914,4367,6
20230322-1104,12920,4364,6
20230323-1126,12934,4366,6
20230324-1108,12942,4366,6
20230325-1041,12947,4365,6
20230326-1037,12937,4361,6
20230327-1104,12925,4355,6
20230328-1133,12928,4356,6
20230329-1107,12939,4362,6
20230330-1057,12944,4366,6
20230331-1121,12951,4368,6
20230401-1058,12959,4373,6
20230402-1106,12946,4369,6
20230403-1107,12944,4368,6
20230404-1127,12951,4371,6
20230405-1107,12956,4370,6
20230406-1112,12947,4365,6
20230407-1048,12952,4367,6
20230408-1037,12946,4366,6
20230409-1102,12936,4364,6
20230410-1043,12924,4359,6
20230411-1105,12916,4350,6
20230412-1117,12920,4348,6
20230414-1057,12927,4357,6
20230415-1110,12936,4358,6
20230416-1040,12922,4356,6
20230417-1051,12915,4354,6
20230418-1057,12925,4363,6
20230420-1110,12939,4366,6
20230421-1105,12955,4367,6
20230422-1043,12966,4376,6
20230423-1042,12951,4373,6
20230424-1113,12942,4367,6
20230425-1118,12945,4372,6
20230426-1105,12955,4373,6
20230427-1113,12958,4368,6
20230428-1046,12966,4368,6
20230429-1046,12972,4377,6
20230430-1042,12967,4373,6
20230501-1041,12954,4367,6
20230502-1052,12928,4363,6
20230503-1045,12928,4366,6
20230504-1047,12936,4369,6
20230505-1116,12941,4373,6
20230506-1040,12944,4374,6
20230507-1048,12931,4369,6
20230508-1120,12918,4361,6
20230509-1053,12923,4364,6
20230510-1102,12917,4363,6
20230511-1052,12926,4362,6
20230512-1051,12919,4367,6
20230513-1051,12932,4372,6
20230514-1048,12919,4369,6
20230515-1104,12905,4363,6
20230516-1053,12919,4366,6
